Date,CDM# MD,CDM# Image,Notes
10/4/2018,304,304,
10/5/2018,12642,12641,
10/6/2018,12644,12643,
10/7/2018,12646,12645,
10/8/2018,12622,12621,
10/9/2018,12636,12635,
10/10/2018,12652,12651,
10/11/2018,12654,12653,
10/12/2018,12656,12655,
10/13/2018,68604,68602,
10/14/2018,68601,68599,
10/15/2018,68607,68605,
10/16/2018,68541,68540,
10/17/2018,107512,107512,
10/18/2018,107491,107491,
10/19/2018,107467,107467,
10/20/2018,107447,107447,
10/21/2018,104073,104073,
10/22/2018,107466,107466,
10/23/2018,107496,107496,
10/24/2018,107191,107191,
10/25/2018,107199,107199,
10/26/2018,107204,107204,
10/27/2018,107203,107203,
10/28/2018,107202,107202,
10/29/2018,107201,107201,
10/30/2018,107200,107200,
10/31/2018,107198,107198,
11/1/2018,107197,107197,
11/2/2018,29735,29734,
11/3/2018,105875,105873,
11/4/2018,105875,105874,
11/5/2018,107437,107217,
11/6/2018,107522,107522,
11/7/2018,107449,107449,
11/8/2018,107437,107275,
11/9/2018,107488,107488,
11/10/2018,95526,95524,
11/11/2018,107493,107493,
11/12/2018,96990,96990,
11/13/2018,107477,107477,
11/14/2018,107437,107291,
11/15/2018,107501,107501,
11/16/2018,95336,95335,
11/17/2018,95338,95337,
11/18/2018,95343,95342,
11/19/2018,95504,95503,
11/20/2018,95523,95522,
11/21/2018,95543,95542,
11/22/2018,11766,11765,
11/23/2018,95564,95563,
11/24/2018,95566,95565,
11/25/2018,95590,95589,
11/26/2018,95562,95561,
11/27/2018,107504,107504,
11/28/2018,107507,107507,
11/29/2018,107485,107485,
11/30/2018,107455,107455,
12/1/2018,107516,107516,
12/2/2018,107437,107313,
12/3/2018,107450,107450,
12/4/2018,322,322,
12/5/2018,318,318,
12/6/2018,284,284,
12/7/2018,107437,107315,
12/8/2018,283,283,
12/9/2018,260,260,
12/10/2018,231,231,
12/11/2018,107446,107446,
12/12/2018,107438,107438,
12/13/2018,107440,107440,
12/14/2018,107441,107441,
12/15/2018,2316,2316,
12/16/2018,104464,104458,
12/17/2018,2295,2295,
12/18/2018,104476,104468,
12/19/2018,105858,105858,
12/20/2018,2220,2220,
12/21/2018,105844,105844,
12/22/2018,338,338,
12/23/2018,104542,104534,
12/24/2018,5887,5887,
12/25/2018,332,332,
12/26/2018,201,201,
12/27/2018,311,311,
12/28/2018,232,232,
12/29/2018,199,199,
12/30/2018,206,206,
12/31/2018,244,244,
1/1/2019,179,179,New Year's Day
1/2/2019,104935,104933,
1/3/2019,221,221,
1/4/2019,194,194,
1/5/2019,323,323,
1/6/2019,29724,29723,Map Week
1/7/2019,29690,29689,Map Week
1/8/2019,29716,29715,Map Week
1/9/2019,29651,29650,Map Week
1/10/2019,29714,29713,Map Week
1/11/2019,29653,29652,Map Week
1/12/2019,29670,29669,Map Week
1/13/2019,74230,74187,Book: Toledo the Convention City Week
1/14/2019,74230,74188,Book: Toledo the Convention City Week
1/15/2019,74230,74190,Book: Toledo the Convention City Week
1/16/2019,74230,74191,Book: Toledo the Convention City Week
1/17/2019,74230,74192,Book: Toledo the Convention City Week
1/18/2019,74230,74193,Book: Toledo the Convention City Week
1/19/2019,74230,74194,Book: Toledo the Convention City Week
1/20/2019,328,328,
1/21/2019,104065,104065,"Martin Luther King, Jr. Day"
1/22/2019,343,343,
1/23/2019,297,297,
1/24/2019,317,317,
1/25/2019,327,327,
1/26/2019,239,239,
1/27/2019,299,299,
1/28/2019,236,236,
1/29/2019,301,301,
1/30/2019,264,264,
1/31/2019,304,304,
2/1/2019,104064,104064,African American History Month
2/2/2019,104067,104067,African American History Month
2/3/2019,104069,104069,African American History Month
2/4/2019,104071,104071,African American History Month
2/5/2019,104072,104072,African American History Month
2/6/2019,104074,104074,African American History Month
2/7/2019,104076,104076,African American History Month
2/8/2019,104079,104079,African American History Month
2/9/2019,104082,104082,African American History Month
2/10/2019,104083,104083,African American History Month
2/11/2019,104085,104085,African American History Month
2/12/2019,104086,104086,African American History Month
2/13/2019,104088,104088,African American History Month
2/14/2019,104090,104090,African American History Month
2/15/2019,104091,104091,African American History Month
2/16/2019,104092,104092,African American History Month
2/17/2019,104093,104093,African American History Month
2/18/2019,104096,104096,African American History Month
2/19/2019,104097,104097,African American History Month
2/20/2019,104100,104100,African American History Month
2/21/2019,104101,104101,African American History Month
2/22/2019,104102,104102,African American History Month
2/23/2019,104104,104104,African American History Month
2/24/2019,104108,104108,African American History Month
2/25/2019,104110,104110,African American History Month
2/26/2019,104111,104111,African American History Month
2/27/2019,104112,104112,African American History Month
2/28/2019,104114,104114,African American History Month
3/1/2019,12401,12400,Women's History Month
3/2/2019,217,217,Women's History Month
3/3/2019,51291,51290,Women's History Month
